2017-18 Rank,Rank in the most recent five years,School Name,City,School Name+city,2017-18 Rating,Rating in the most recent five years,Rating in the most recent five years adj,latitude,Longitude
47/852,30/664,Trinity Christian,Calgary,"Trinity Christian school, Calgary, AB, Canada",8.4,8.4,8.4,50.909793,-114.063213
47/852,43/664,Dr. E. W. Coffin,Calgary,"Dr. E. W. Coffin school, Calgary, AB, Canada",8.4,8.2,8.2,51.103743,-114.135019
47/852,63/664,Bearspaw Christian,Calgary,"Bearspaw Christian school, Calgary, AB, Canada",8.4,7.9,7.9,51.02972,-114.158963
47/852,172/664,Mother Mary Greene,Calgary,"Mother Mary Greene school, Calgary, AB, Canada",8.4,7.1,7.1,51.124307,-114.139237
47/852,190/664,Khalsa,Calgary,"Khalsa school, Calgary, AB, Canada",8.4,7,7,51.046362,-114.05803
47/852,n/a,Guardian Angel,Calgary,"Guardian Angel school, Calgary, AB, Canada",8.4,n/a,8.4,51.040321,-114.216592
47/852,n/a,King Edward,Edmonton,"King Edward school, Edmonton, AB, Canada",8.4,n/a,,,
54/852,13/664,St. Vincent De Paul,Calgary,"St. Vincent De Paul school, Calgary, AB, Canada",8.3,8.8,8.8,51.093562,-114.158901
54/852,20/664,New Horizons,Sherwood Park,"New Horizons school, Sherwood Park, AB, Canada",8.3,8.6,,,
54/852,25/664,Calgary Jewish,Calgary,"Calgary Jewish school, Calgary, AB, Canada",8.3,8.5,8.5,50.993575,-114.092975
54/852,43/664,Foundations for the Future (FFCA),Calgary,"Foundations for the Future (FFCA) school, Calgary, AB, Canada",8.3,8.2,8.2,51.069965,-114.152162
54/852,63/664,J. J. Nearing,St. Albert,"J. J. Nearing school, St. Albert, AB, Canada",8.3,7.9,,,
54/852,63/664,Our Lady of the Snows,Canmore,"Our Lady of the Snows school, Canmore, AB, Canada",8.3,7.9,,,
54/852,80/664,Fultonvale,Sherwood Park,"Fultonvale school, Sherwood Park, AB, Canada",8.3,7.8,,,
54/852,101/664,McKernan,Edmonton,"McKernan school, Edmonton, AB, Canada",8.3,7.6,,,
54/852,116/664,Monsignor E. L. Doyle,Calgary,"Monsignor E. L. Doyle school, Calgary, AB, Canada",8.3,7.5,7.5,51.122454,-114.216638
54/852,190/664,St. Jerome's,Vermilion,"St. Jerome's school, Vermilion, AB, Canada",8.3,7,,,
54/852,283/664,St. Gerard,Calgary,"St. Gerard school, Calgary, AB, Canada",8.3,6.4,6.4,50.968458,-114.088902
65/852,11/664,Grandview Heights,Edmonton,"Grandview Heights school, Edmonton, AB, Canada",8.2,8.9,,,
65/852,43/664,Calgary Christian,Calgary,"Calgary Christian school, Calgary, AB, Canada",8.2,8.2,8.2,51.02972,-114.158963
65/852,43/664,St. Brigid,Calgary,"St. Brigid school, Calgary, AB, Canada",8.2,8.2,8.2,51.146747,-114.187369
65/852,51/664,Holy Spirit,High River,"Holy Spirit school, High River, AB, Canada",8.2,8.1,,,
65/852,51/664,Virginia Park,Edmonton,"Virginia Park school, Edmonton, AB, Canada",8.2,8.1,,,
65/852,51/664,Wye,Sherwood Park,"Wye school, Sherwood Park, AB, Canada",8.2,8.1,,,
65/852,63/664,Vulcan Prairieview,Vulcan,"Vulcan Prairieview school, Vulcan, AB, Canada",8.2,7.9,,,
65/852,151/664,Alix (Mirror and Alix Central),Alix,"Alix (Mirror and Alix Central) school, Alix, AB, Canada",8.2,7.2,,,
65/852,n/a,CAPE,Medicine Hat,"CAPE school, Medicine Hat, AB, Canada",8.2,n/a,,,
65/852,n/a,Coaldale Christian,Coaldale,"Coaldale Christian school, Coaldale, AB, Canada",8.2,n/a,,,
65/852,n/a,Notre-Dame des Vall??es,Cochrane,"Notre-Dame des Vall??es school, Cochrane, AB, Canada",8.2,n/a,,,
76/852,25/664,George P. Nicholson,Edmonton,"George P. Nicholson school, Edmonton, AB, Canada",8.1,8.5,,,
76/852,25/664,Meyokumin,Edmonton,"Meyokumin school, Edmonton, AB, Canada",8.1,8.5,,,
76/852,30/664,Muriel Martin,St. Albert,"Muriel Martin school, St. Albert, AB, Canada",8.1,8.4,,,
76/852,63/664,Dapp,Dapp,"Dapp school, Dapp, AB, Canada",8.1,7.9,,,
76/852,87/664,St. Elizabeth Seton,Calgary,"St. Elizabeth Seton school, Calgary, AB, Canada",8.1,7.7,7.7,51.151499,-114.110422
76/852,87/664,Woodbine,Calgary,"Woodbine school, Calgary, AB, Canada",8.1,7.7,7.7,50.936664,-114.1288
76/852,344/664,Cambrian Heights,Calgary,"Cambrian Heights school, Calgary, AB, Canada",8.1,6.1,6.1,51.085505,-114.088423
76/852,n/a,Fort McMurray Christian,Fort McMurray,"Fort McMurray Christian school, Fort McMurray, AB, Canada",8.1,n/a,,,
84/852,20/664,Elbow Park,Calgary,"Elbow Park school, Calgary, AB, Canada",8,8.6,8.6,51.01944,-114.081956
84/852,36/664,Glamorgan,Calgary,"Glamorgan school, Calgary, AB, Canada",8,8.3,8.3,51.015222,-114.145343
84/852,63/664,Manning,Manning,"Manning school, Manning, AB, Canada",8,7.9,,,
84/852,87/664,Greenfield,Edmonton,"Greenfield school, Edmonton, AB, Canada",8,7.7,,,
84/852,87/664,St. Maria Goretti,Calgary,"St. Maria Goretti school, Calgary, AB, Canada",8,7.7,7.7,51.134854,-114.178169
84/852,101/664,Millwoods Christian,Edmonton,"Millwoods Christian school, Edmonton, AB, Canada",8,7.6,,,
84/852,n/a,Constable Daniel Woodall,Edmonton,"Constable Daniel Woodall school, Edmonton, AB, Canada",8,n/a,,,
84/852,n/a,St. Francis of Assisi,De Winton,"St. Francis of Assisi school, De Winton, AB, Canada",8,n/a,,,
92/852,51/664,Consort,Consort,"Consort school, Consort, AB, Canada",7.9,8.1,,,
92/852,80/664,Menno Simons Christian,Calgary,"Menno Simons Christian school, Calgary, AB, Canada",7.9,7.8,7.8,51.023404,-114.18798
92/852,87/664,St. Ambrose,Calgary,"St. Ambrose school, Calgary, AB, Canada",7.9,7.7,7.7,51.133372,-114.205687
92/852,101/664,Crestwood,Edmonton,"Crestwood school, Edmonton, AB, Canada",7.9,7.6,,,
92/852,124/664,Lake Bonavista,Calgary,"Lake Bonavista school, Calgary, AB, Canada",7.9,7.4,7.4,50.94494,-114.042107
92/852,124/664,Monsignor A. J. Hetherington,Calgary,"Monsignor A. J. Hetherington school, Calgary, AB, Canada",7.9,7.4,7.4,51.099565,-113.934167
92/852,138/664,Stirling,Stirling,"Stirling school, Stirling, AB, Canada",7.9,7.3,,,
92/852,n/a,St. Anne,Fort McMurray,"St. Anne school, Fort McMurray, AB, Canada",7.9,n/a,,,
100/852,36/664,Suzuki,Edmonton,"Suzuki school, Edmonton, AB, Canada",7.8,8.3,,,
100/852,58/664,Patricia Heights,Edmonton,"Patricia Heights school, Edmonton, AB, Canada",7.8,8,,,
100/852,58/664,St. Jerome,Calgary,"St. Jerome school, Calgary, AB, Canada",7.8,8,8,51.157684,-114.078846
100/852,80/664,Westbrook,Cochrane,"Westbrook school, Cochrane, AB, Canada",7.8,7.8,,,
100/852,87/664,Glen Allan,Sherwood Park,"Glen Allan school, Sherwood Park, AB, Canada",7.8,7.7,,,
100/852,101/664,Archbishop Joseph MacNeil,Edmonton,"Archbishop Joseph MacNeil school, Edmonton, AB, Canada",7.8,7.6,,,
100/852,101/664,Capitol Hill,Calgary,"Capitol Hill school, Calgary, AB, Canada",7.8,7.6,7.6,51.071877,-114.103659
100/852,101/664,Lacombe Christian,Lacombe,"Lacombe Christian school, Lacombe, AB, Canada",7.8,7.6,,,
100/852,124/664,Brentwood,Sherwood Park,"Brentwood school, Sherwood Park, AB, Canada",7.8,7.4,,,
100/852,124/664,Covenant Canadian Reformed,Neerlandia,"Covenant Canadian Reformed school, Neerlandia, AB, Canada",7.8,7.4,,,
100/852,124/664,Edmonton Christian West,Edmonton,"Edmonton Christian West school, Edmonton, AB, Canada",7.8,7.4,,,
100/852,138/664,St. Sebastian,Calgary,"St. Sebastian school, Calgary, AB, Canada",7.8,7.3,7.3,50.884764,-114.029299
100/852,151/664,E. H. Walter,Paradise Valley,"E. H. Walter school, Paradise Valley, AB, Canada",7.8,7.2,,,
100/852,151/664,Red Deer Lake,Calgary,"Red Deer Lake school, Calgary, AB, Canada",7.8,7.2,7.2,50.887069,-114.164518
100/852,200/664,Garneau,Edmonton,"Garneau school, Edmonton, AB, Canada",7.8,6.9,,,
100/852,283/664,Millarville,Millarville,"Millarville school, Millarville, AB, Canada",7.8,6.4,,,
100/852,283/664,Winterburn,Edmonton,"Winterburn school, Edmonton, AB, Canada",7.8,6.4,,,
100/852,n/a,Citadelle,Legal,"Citadelle school, Legal, AB, Canada",7.8,n/a,,,
100/852,n/a,Clive,Clive,"Clive school, Clive, AB, Canada",7.8,n/a,,,
119/852,36/664,St. Luke,Calgary,"St. Luke school, Calgary, AB, Canada",7.7,8.3,8.3,51.090971,-114.12218
119/852,51/664,St. Philip,Calgary,"St. Philip school, Calgary, AB, Canada",7.7,8.1,8.1,50.927905,-114.038215
119/852,63/664,Olympic Heights,Calgary,"Olympic Heights school, Calgary, AB, Canada",7.7,7.9,7.9,51.045994,-114.180779
119/852,87/664,John Costello,Calgary,"John Costello school, Calgary, AB, Canada",7.7,7.7,7.7,51.048289,-114.180451
119/852,87/664,Michael A Kostek,Edmonton,"Michael A Kostek school, Edmonton, AB, Canada",7.7,7.7,,,
119/852,87/664,Poplar Ridge,Red Deer,"Poplar Ridge school, Red Deer, AB, Canada",7.7,7.7,,,
119/852,101/664,Holyrood,Edmonton,"Holyrood school, Edmonton, AB, Canada",7.7,7.6,,,
119/852,101/664,Lynnwood,Edmonton,"Lynnwood school, Edmonton, AB, Canada",7.7,7.6,,,
119/852,101/664,Woodlands,Calgary,"Woodlands school, Calgary, AB, Canada",7.7,7.6,7.6,50.938476,-114.107661
119/852,116/664,Christ the King,Calgary,"Christ the King school, Calgary, AB, Canada",7.7,7.5,7.5,50.887736,-113.975928
119/852,124/664,Provost,Provost,"Provost school, Provost, AB, Canada",7.7,7.4,,,
119/852,124/664,Sister Annata Brockman,Edmonton,"Sister Annata Brockman school, Edmonton, AB, Canada",7.7,7.4,,,
119/852,151/664,Cardinal Newman,Calgary,"Cardinal Newman school, Calgary, AB, Canada",7.7,7.2,7.2,50.907368,-113.988554
119/852,172/664,Keenooshayo,St. Albert,"Keenooshayo school, St. Albert, AB, Canada",7.7,7.1,,,
119/852,190/664,A. Blair McPherson,Edmonton,"A. Blair McPherson school, Edmonton, AB, Canada",7.7,7,,,
119/852,214/664,Varsity Acres,Calgary,"Varsity Acres school, Calgary, AB, Canada",7.7,6.8,6.8,51.091255,-114.148057
119/852,227/664,Bruderheim,Bruderheim,"Bruderheim school, Bruderheim, AB, Canada",7.7,6.7,,,
119/852,227/664,Ellerslie,Edmonton,"Ellerslie school, Edmonton, AB, Canada",7.7,6.7,,,
119/852,227/664,Notre-Dame de la Paix,Calgary,"Notre-Dame de la Paix school, Calgary, AB, Canada",7.7,6.7,6.7,50.950905,-114.043332
119/852,385/664,Rosemont,Calgary,"Rosemont school, Calgary, AB, Canada",7.7,5.9,5.9,51.077811,-114.092231
119/852,421/664,St. Rose of Lima,Calgary,"St. Rose of Lima school, Calgary, AB, Canada",7.7,5.7,5.7,51.075799,-113.962505
119/852,n/a,Chaparral,Calgary,"Chaparral school, Calgary, AB, Canada",7.7,n/a,7.7,50.882893,-114.044845
119/852,n/a,Chinook Winds Adventist,Calgary,"Chinook Winds Adventist school, Calgary, AB, Canada",7.7,n/a,7.7,51.081408,-114.233978
142/852,58/664,La Mission,St. Albert,"La Mission school, St. Albert, AB, Canada",7.6,8,,,
142/852,63/664,Battalion Park,Calgary,"Battalion Park school, Calgary, AB, Canada",7.6,7.9,7.9,51.023548,-114.181895
142/852,63/664,Robert Rundle,St. Albert,"Robert Rundle school, St. Albert, AB, Canada",7.6,7.9,,,
142/852,63/664,Sir Alexander Mackenzie,St. Albert,"Sir Alexander Mackenzie school, St. Albert, AB, Canada",7.6,7.9,,,
142/852,63/664,St. Martin,Edmonton,"St. Martin school, Edmonton, AB, Canada",7.6,7.9,,,
142/852,116/664,Meyonohk,Edmonton,"Meyonohk school, Edmonton, AB, Canada",7.6,7.5,,,
142/852,124/664,Captain John Palliser,Calgary,"Captain John Palliser school, Calgary, AB, Canada",7.6,7.4,7.4,51.096772,-114.136366
142/852,124/664,Grandin,Edmonton,"Grandin school, Edmonton, AB, Canada",7.6,7.4,,,
142/852,151/664,Fort Saskatchewan Christian,Fort Saskatchewan,"Fort Saskatchewan Christian school, Fort Saskatchewan, AB, Canada",7.6,7.2,,,
142/852,172/664,Leslieville,Leslieville,"Leslieville school, Leslieville, AB, Canada",7.6,7.1,,,
142/852,200/664,Forest Heights,Edmonton,"Forest Heights school, Edmonton, AB, Canada",7.6,6.9,,,
142/852,227/664,Coalhurst,Coalhurst,"Coalhurst school, Coalhurst, AB, Canada",7.6,6.7,,,
142/852,n/a,Nellie Carlson,Edmonton,"Nellie Carlson school, Edmonton, AB, Canada",7.6,n/a,,,
142/852,n/a,St. Gabriel,Fort McMurray,"St. Gabriel school, Fort McMurray, AB, Canada",7.6,n/a,,,
156/852,20/664,Tempo,Edmonton,"Tempo school, Edmonton, AB, Canada",7.5,8.6,,,
156/852,63/664,Calmar,Calmar,"Calmar school, Calmar, AB, Canada",7.5,7.9,,,
156/852,101/664,Bertha Kennedy,St. Albert,"Bertha Kennedy school, St. Albert, AB, Canada",7.5,7.6,,,
156/852,124/664,Heritage Christian,Calgary,"Heritage Christian school, Calgary, AB, Canada",7.5,7.4,7.4,51.092038,-114.009842
156/852,138/664,Lakeland Ridge,Sherwood Park,"Lakeland Ridge school, Sherwood Park, AB, Canada",7.5,7.3,,,
156/852,138/664,St. Dominic,Calgary,"St. Dominic school, Calgary, AB, Canada",7.5,7.3,7.3,51.109526,-114.154307
156/852,172/664,LaPerle,Edmonton,"LaPerle school, Edmonton, AB, Canada",7.5,7.1,,,
156/852,172/664,Our Lady of Wisdom,Chestermere,"Our Lady of Wisdom school, Chestermere, AB, Canada",7.5,7.1,,,
156/852,246/664,Ardrossan,Ardrossan,"Ardrossan school, Ardrossan, AB, Canada",7.5,6.6,,,
156/852,283/664,St. Thomas More,Calgary,"St. Thomas More school, Calgary, AB, Canada",7.5,6.4,6.4,51.085556,-113.945476
156/852,302/664,Norwood,Wetaskiwin,"Norwood school, Wetaskiwin, AB, Canada",7.5,6.3,,,
156/852,344/664,C Ian McLaren,Black Diamond,"C Ian McLaren school, Black Diamond, AB, Canada",7.5,6.1,,,
156/852,n/a,Atlas,Airdrie,"Atlas school, Airdrie, AB, Canada",7.5,n/a,,,
156/852,n/a,Dr. Margaret-Ann Armour,Edmonton,"Dr. Margaret-Ann Armour school, Edmonton, AB, Canada",7.5,n/a,,,
156/852,n/a,Griffith Woods,Calgary,"Griffith Woods school, Calgary, AB, Canada",7.5,n/a,7.5,51.030923,-114.194845
156/852,n/a,Jan Reimer,Edmonton,"Jan Reimer school, Edmonton, AB, Canada",7.5,n/a,,,
156/852,n/a,Saint-Vital,Beaumont,"Saint-Vital school, Beaumont, AB, Canada",7.5,n/a,,,
173/852,43/664,Glenora,Edmonton,"Glenora school, Edmonton, AB, Canada",7.4,8.2,,,
173/852,87/664,St. Hubert,Calgary,"St. Hubert school, Calgary, AB, Canada",7.4,7.7,7.7,51.11832,-114.062247
173/852,101/664,Esther Starkman,Edmonton,"Esther Starkman school, Edmonton, AB, Canada",7.4,7.6,,,
173/852,101/664,St. Basil,Calgary,"St. Basil school, Calgary, AB, Canada",7.4,7.6,7.6,51.119236,-114.250098
173/852,138/664,Notre-Dame,Edmonton,"Notre-Dame school, Edmonton, AB, Canada",7.4,7.3,,,
173/852,172/664,Muir Lake,Stony Plain,"Muir Lake school, Stony Plain, AB, Canada",7.4,7.1,,,
173/852,172/664,Silver Springs,Calgary,"Silver Springs school, Calgary, AB, Canada",7.4,7.1,7.1,51.105734,-114.190821
173/852,172/664,St. Boniface,Edmonton,"St. Boniface school, Edmonton, AB, Canada",7.4,7.1,,,
173/852,227/664,St. Joseph,Calgary,"St. Joseph school, Calgary, AB, Canada",7.4,6.7,6.7,51.074614,-114.073816
173/852,n/a,"Calgary Islamic, OBK",Calgary,"Calgary Islamic, OBK school, Calgary, AB, Canada",7.4,n/a,7.4,51.087014,-113.999698
173/852,n/a,Our Lady of the Rosary,Calgary,"Our Lady of the Rosary school, Calgary, AB, Canada",7.4,n/a,7.4,51.083401,-114.19152
173/852,n/a,Prince of Peace,Calgary,"Prince of Peace school, Calgary, AB, Canada",7.4,n/a,7.4,50.893316,-113.949667
173/852,n/a,Roberta MacAdams,Edmonton,"Roberta MacAdams school, Edmonton, AB, Canada",7.4,n/a,,,
173/852,n/a,Sangudo,Sangudo,"Sangudo school, Sangudo, AB, Canada",7.4,n/a,,,
173/852,n/a,West Meadow,Claresholm,"West Meadow school, Claresholm, AB, Canada",7.4,n/a,,,
188/852,87/664,Pollard Meadows,Edmonton,"Pollard Meadows school, Edmonton, AB, Canada",7.3,7.7,,,
188/852,101/664,Centennial,Edmonton,"Centennial school, Edmonton, AB, Canada",7.3,7.6,,,
188/852,124/664,Airdrie Koinonia Christian,Airdrie,"Airdrie Koinonia Christian school, Airdrie, AB, Canada",7.3,7.4,,,
188/852,138/664,Elboya,Calgary,"Elboya school, Calgary, AB, Canada",7.3,7.3,7.3,,
188/852,138/664,Our Lady of the Evergreens,Calgary,"Our Lady of the Evergreens school, Calgary, AB, Canada",7.3,7.3,7.3,,
188/852,190/664,West Dalhousie,Calgary,"West Dalhousie school, Calgary, AB, Canada",7.3,7,7,,
188/852,214/664,Mills Haven,Sherwood Park,"Mills Haven school, Sherwood Park, AB, Canada",7.3,6.8,,,
188/852,214/664,St. Teresa,Edmonton,"St. Teresa school, Edmonton, AB, Canada",7.3,6.8,,,
188/852,227/664,Father James Whelihan,Calgary,"Father James Whelihan school, Calgary, AB, Canada",7.3,6.7,6.7,,
188/852,302/664,Monsignor J. S. Smith,Calgary,"Monsignor J. S. Smith school, Calgary, AB, Canada",7.3,6.3,6.3,,
188/852,385/664,Derek Taylor,Grande Prairie,"Derek Taylor school, Grande Prairie, AB, Canada",7.3,5.9,,,
188/852,n/a,du Nouveau-Monde,Calgary,"du Nouveau-Monde school, Calgary, AB, Canada",7.3,n/a,7.3,,
188/852,n/a,Mayland Heights,Calgary,"Mayland Heights school, Calgary, AB, Canada",7.3,n/a,7.3,,
188/852,n/a,St. Mary,Westlock,"St. Mary school, Westlock, AB, Canada",7.3,n/a,,,
188/852,n/a,St. William,Calgary,"St. William school, Calgary, AB, Canada",7.3,n/a,7.3,,
203/852,63/664,Killarney,Calgary,"Killarney school, Calgary, AB, Canada",7.2,7.9,7.9,,
203/852,87/664,Calgary Waldorf,Calgary,"Calgary Waldorf school, Calgary, AB, Canada",7.2,7.7,7.7,,
203/852,116/664,Bezanson,Bezanson,"Bezanson school, Bezanson, AB, Canada",7.2,7.5,,,
203/852,151/664,Bishop Greschuk,Edmonton,"Bishop Greschuk school, Edmonton, AB, Canada",7.2,7.2,,,
203/852,151/664,St. Mary's,Okotoks,"St. Mary's school, Okotoks, AB, Canada",7.2,7.2,,,
203/852,151/664,Woodbridge Farms,Sherwood Park,"Woodbridge Farms school, Sherwood Park, AB, Canada",7.2,7.2,,,
203/852,172/664,Duchess,Duchess,"Duchess school, Duchess, AB, Canada",7.2,7.1,,,
203/852,172/664,St. Patrick Fine Arts,Lethbridge,"St. Patrick Fine Arts school, Lethbridge, AB, Canada",7.2,7.1,,,
203/852,200/664,High Park,Stony Plain,"High Park school, Stony Plain, AB, Canada",7.2,6.9,,,
203/852,200/664,St. Stanislaus,Edmonton,"St. Stanislaus school, Edmonton, AB, Canada",7.2,6.9,,,
203/852,214/664,St. Anthony,Drayton Valley,"St. Anthony school, Drayton Valley, AB, Canada",7.2,6.8,,,
203/852,227/664,Brander Gardens,Edmonton,"Brander Gardens school, Edmonton, AB, Canada",7.2,6.7,,,
203/852,227/664,Sturgeon Heights,St. Albert,"Sturgeon Heights school, St. Albert, AB, Canada",7.2,6.7,,,
203/852,266/664,St. Dominic,Cold Lake,"St. Dominic school, Cold Lake, AB, Canada",7.2,6.5,,,
203/852,302/664,Holy Cross,Edmonton,"Holy Cross school, Edmonton, AB, Canada",7.2,6.3,,,
203/852,344/664,Evansview,Evansburg,"Evansview school, Evansburg, AB, Canada",7.2,6.1,,,
203/852,n/a,Coloniale Estates,Beaumont,"Coloniale Estates school, Beaumont, AB, Canada",7.2,n/a,,,
220/852,58/664,Rosedale,Calgary,"Rosedale school, Calgary, AB, Canada",7.1,8,8,,
220/852,116/664,Sainte Marguerite Bourgeoys,Calgary,"Sainte Marguerite Bourgeoys school, Calgary, AB, Canada",7.1,7.5,7.5,,
220/852,138/664,Calvin Christian,Coalhurst,"Calvin Christian school, Coalhurst, AB, Canada",7.1,7.3,,,
220/852,151/664,Mother Teresa of Calcutta,Calgary,"Mother Teresa of Calcutta school, Calgary, AB, Canada",7.1,7.2,7.2,,
220/852,190/664,Meadowlark Christian,Edmonton,"Meadowlark Christian school, Edmonton, AB, Canada",7.1,7,,,
220/852,200/664,Bearspaw,Calgary,"Bearspaw school, Calgary, AB, Canada",7.1,6.9,6.9,,
220/852,200/664,Michael Strembitsky,Edmonton,"Michael Strembitsky school, Edmonton, AB, Canada",7.1,6.9,,,
220/852,214/664,Campbelltown,Sherwood Park,"Campbelltown school, Sherwood Park, AB, Canada",7.1,6.8,,,
220/852,227/664,Monsignor Fee Otterson,Edmonton,"Monsignor Fee Otterson school, Edmonton, AB, Canada",7.1,6.7,,,
220/852,246/664,Ste. Marie,Spirit River,"Ste. Marie school, Spirit River, AB, Canada",7.1,6.6,,,
220/852,246/664,Ste-Jeanne-d'Arc,Edmonton,"Ste-Jeanne-d'Arc school, Edmonton, AB, Canada",7.1,6.6,,,
220/852,246/664,Viking,Viking,"Viking school, Viking, AB, Canada",7.1,6.6,,,
220/852,320/664,Coronation,Edmonton,"Coronation school, Edmonton, AB, Canada",7.1,6.2,,,
220/852,385/664,Bridlewood,Calgary,"Bridlewood school, Calgary, AB, Canada",7.1,5.9,5.9,,
